CWC ID Number,Laboratory,d13C,%C,d15N,%N,C:N,d34S,%S,,
CWC1208,University of Windsor,-16.08,40.80,8.74,13.08,3.12,not measured,not measured,,
CWC1209,University of Windsor,-19.98,45.34,13.21,14.67,3.09,not measured,not measured,,
CWC1211,University of Windsor,-20.16,41.14,10.13,13.64,3.02,not measured,not measured,,
CWC1212,University of Windsor,-19.55,44.95,10.75,14.87,3.02,not measured,not measured,,
CWC1214,University of Windsor,-17.13,33.48,6.07,7.94,4.22,not measured,not measured,,
CWC1215,University of Windsor,-15.65,39.36,7.82,12.71,3.10,not measured,not measured,,
CWC1216,University of Windsor,-19.90,43.82,11.72,14.47,3.03,not measured,not measured,,
CWC1217,University of Windsor,-20.71,44.50,8.03,14.63,3.04,not measured,not measured,,
CWC1218,University of Windsor,-20.14,45.22,6.36,14.57,3.10,not measured,not measured,,
CWC1219,University of Windsor,-19.36,46.92,11.02,14.85,3.16,not measured,not measured,,
CWC1224,University of Windsor,-20.20,44.25,10.41,14.59,3.03,not measured,not measured,,
CWC1225,University of Windsor,-17.99,44.68,8.54,14.59,3.06,not measured,not measured,,
CWC1226,University of Windsor,-16.35,32.15,5.67,7.94,4.05,not measured,not measured,,
CWC1227,University of Windsor,-16.04,41.12,7.28,12.48,3.30,not measured,not measured,,
CWC1232,University of Windsor,-16.93,45.62,5.64,14.53,3.14,not measured,not measured,,
CWC1233,University of Windsor,-16.29,40.93,6.99,13.48,3.04,not measured,not measured,,
CWC1244,University of Windsor,-17.55,44.66,6.31,14.38,3.10,not measured,not measured,,
CWC1246,University of Windsor,-15.88,44.64,6.30,14.58,3.06,not measured,not measured,,
CWC1247,University of Windsor,-22.01,44.24,11.62,14.40,3.07,not measured,not measured,,
CWC1248,University of Windsor,-18.13,42.48,8.15,14.13,3.01,not measured,not measured,,
CWC1249,University of Windsor,-16.91,45.09,5.94,14.37,3.14,not measured,not measured,,
CWC1250,University of Windsor,-17.48,45.11,5.21,14.75,3.06,not measured,not measured,,
CWC1251,University of Windsor,-21.40,43.75,12.35,14.10,3.10,not measured,not measured,,
CWC1252,University of Windsor,-21.72,43.22,12.63,14.39,3.00,not measured,not measured,,
CWC1253,University of Windsor,-23.21,44.16,11.68,14.64,3.02,not measured,not measured,,
CWC1254,University of Windsor,-21.99,44.96,12.07,14.46,3.11,not measured,not measured,,
CWC1257,University of Windsor,-22.84,41.70,12.03,13.84,3.01,not measured,not measured,,
CWC1262,University of Windsor,-17.13,43.72,5.56,14.51,3.01,not measured,not measured,,
CWC1263,University of Windsor,-20.31,44.00,9.65,14.48,3.04,not measured,not measured,,
CWC1264,University of Windsor,-20.60,40.05,11.22,13.16,3.04,not measured,not measured,,
CWC1265,University of Windsor,-20.41,41.51,10.91,13.97,2.97,not measured,not measured,,
CWC1266,University of Windsor,-16.61,33.82,4.40,11.06,3.06,not measured,not measured,,
CWC1267,University of Windsor,-19.76,42.03,10.49,14.03,3.00,not measured,not measured,,
CWC1268,University of Windsor,-20.68,42.09,10.83,13.78,3.05,not measured,not measured,,
CWC1269,University of Windsor,-17.50,37.74,4.47,12.09,3.12,not measured,not measured,,
CWC1270,University of Windsor,-19.41,43.10,8.47,14.39,3.00,not measured,not measured,,
CWC1271,University of Windsor,-17.11,34.40,4.94,10.73,3.21,not measured,not measured,,
CWC1272,University of Windsor,-20.83,41.78,11.38,13.41,3.12,not measured,not measured,,
CWC1273,University of Windsor,-20.84,45.30,13.24,14.17,3.20,not measured,not measured,,
CWC1274,University of Windsor,-18.29,38.44,6.07,12.40,3.10,not measured,not measured,,
CWC1275,University of Windsor,-18.45,42.08,4.63,13.42,3.14,not measured,not measured,,
CWC1276,University of Windsor,-20.13,43.63,10.48,14.46,3.02,not measured,not measured,,
CWC1280,University of Windsor,-19.93,43.22,10.35,13.86,3.12,not measured,not measured,,
CWC1282,University of Windsor,-19.92,41.90,9.21,13.84,3.03,not measured,not measured,,
CWC1283,University of Windsor,-20.22,43.32,10.31,14.14,3.06,not measured,not measured,,
CWC1285,University of Windsor,-20.71,34.15,10.75,11.23,3.04,not measured,not measured,,
CWC1289,University of Windsor,-18.32,44.78,10.62,14.59,3.07,not measured,not measured,,
CWC1290,University of Windsor,-17.76,29.68,9.06,8.89,3.34,not measured,not measured,,
CWC1291,University of Windsor,-19.61,43.81,6.32,14.44,3.03,not measured,not measured,,
CWC1292,University of Windsor,-22.74,43.03,9.96,14.33,3.00,not measured,not measured,,
CWC1293,University of Windsor,-16.77,41.21,9.24,14.32,2.88,not measured,not measured,,
CWC1295,University of Windsor,-18.90,44.64,9.90,14.84,3.01,not measured,not measured,,
CWC1296,University of Windsor,-17.05,42.57,10.53,14.05,3.03,not measured,not measured,,
CWC1297,University of Windsor,-19.28,30.95,8.45,9.13,3.39,not measured,not measured,,
CWC1298,University of Windsor,-18.47,42.49,8.88,14.59,2.91,not measured,not measured,,
CWC1299,University of Windsor,-20.40,34.53,7.69,9.32,3.70,not measured,not measured,,
CWC1300,University of Windsor,-17.07,42.48,7.57,13.93,3.05,not measured,not measured,,
CWC1301,University of Windsor,-16.36,30.23,8.93,9.08,3.33,not measured,not measured,,
CWC1302,University of Windsor,-14.91,39.02,7.39,13.58,2.87,not measured,not measured,,
CWC1358,University of Windsor,-20.78,41.79,6.25,14.07,2.97,not measured,not measured,,
CWC1360,University of Windsor,-22.88,40.11,6.62,12.54,3.20,not measured,not measured,,
CWC1361,University of Windsor,-22.65,40.32,6.64,12.73,3.17,not measured,not measured,,
CWC1362,University of Windsor,-17.54,44.64,8.73,14.58,3.06,not measured,not measured,,
CWC1363,University of Windsor,-19.99,46.40,9.89,15.38,3.02,not measured,not measured,,
CWC1365,University of Windsor,-18.42,43.00,7.15,14.37,2.99,not measured,not measured,,
CWC1366,University of Windsor,-17.39,44.46,9.85,14.73,3.02,not measured,not measured,,
CWC1367,University of Windsor,-18.41,45.05,11.23,14.91,3.02,not measured,not measured,,
CWC1368,University of Windsor,-17.99,38.52,8.30,10.63,3.62,not measured,not measured,,
CWC1369,University of Windsor,-19.64,42.69,8.12,11.58,3.69,not measured,not measured,,
CWC1371,University of Windsor,-19.86,46.68,10.13,13.89,3.36,not measured,not measured,,
CWC1372,University of Windsor,-19.79,45.93,12.97,14.58,3.15,not measured,not measured,,
CWC1373,University of Windsor,-17.02,45.04,9.29,16.51,2.73,not measured,not measured,,
CWC1374,University of Windsor,-19.62,36.48,8.96,9.70,3.76,not measured,not measured,,
CWC1375,University of Windsor,-18.06,41.50,8.43,14.41,2.88,not measured,not measured,,
CWC1376,University of Windsor,-21.12,45.16,9.53,15.14,2.98,not measured,not measured,,
CWC1377,University of Windsor,-17.33,45.15,10.47,14.67,3.08,not measured,not measured,,
CWC1378,University of Windsor,-18.24,43.17,7.47,15.17,2.85,not measured,not measured,,
CWC1379,University of Windsor,-18.03,43.51,5.85,14.67,2.97,not measured,not measured,,
CWC1380,University of Windsor,-17.88,45.65,9.37,14.92,3.06,not measured,not measured,,
CWC1381,University of Windsor,-20.41,45.87,8.80,14.92,3.07,not measured,not measured,,
CWC1382,University of Windsor,-22.18,45.45,9.48,14.99,3.03,not measured,not measured,,
CWC1383,University of Windsor,-17.41,43.35,6.40,14.50,2.99,not measured,not measured,,
CWC1388,University of Windsor,-19.49,45.17,12.18,14.47,3.12,not measured,not measured,,
CWC1389,University of Windsor,-19.98,44.99,13.99,14.55,3.09,not measured,not measured,,
CWC1390,University of Windsor,-19.30,43.95,11.71,14.33,3.07,not measured,not measured,,
CWC1391,University of Windsor,-19.49,43.87,12.36,14.17,3.10,not measured,not measured,,
CWC1392,University of Windsor,-19.32,44.67,12.31,14.36,3.11,not measured,not measured,,
CWC1393,University of Windsor,-21.19,44.08,12.25,14.24,3.09,not measured,not measured,,
CWC1394,University of Windsor,-20.33,45.10,13.64,14.45,3.12,not measured,not measured,,
CWC1395,University of Windsor,-19.51,46.53,11.29,13.97,3.33,not measured,not measured,,
CWC1396,University of Windsor,-23.01,41.08,6.53,12.90,3.18,not measured,not measured,,
CWC1397,University of Windsor,-23.19,40.74,6.58,12.52,3.26,not measured,not measured,,
CWC1398,University of Windsor,-22.35,34.60,7.55,10.52,3.29,not measured,not measured,,
CWC1399,University of Windsor,-22.95,37.03,7.07,11.46,3.23,not measured,not measured,,
CWC1400,University of Windsor,-11.89,38.93,6.32,12.71,3.06,not measured,not measured,,
CWC1402,University of Windsor,-20.13,45.13,13.10,14.69,3.07,not measured,not measured,,
CWC1403,University of Windsor,-19.29,45.67,14.07,14.67,3.11,not measured,not measured,,
CWC1406,University of Windsor,-19.50,46.11,13.34,14.82,3.11,not measured,not measured,,
CWC1407,University of Windsor,-20.24,45.95,14.14,14.94,3.07,not measured,not measured,,
CWC1408,University of Windsor,-20.58,45.99,13.90,14.98,3.07,not measured,not measured,,
CWC1409,University of Windsor,-20.87,46.96,13.30,14.38,3.27,not measured,not measured,,
CWC1415,University of Windsor,-19.37,43.56,12.07,14.06,3.10,not measured,not measured,,
CWC1416,University of Windsor,-19.15,45.77,14.81,14.95,3.06,not measured,not measured,,
CWC1417,University of Windsor,-18.81,46.19,14.58,14.89,3.10,not measured,not measured,,
CWC1420,University of Windsor,-18.95,46.82,14.52,15.06,3.11,not measured,not measured,,
CWC1423,University of Windsor,-20.10,45.01,11.21,14.48,3.11,not measured,not measured,,
CWC1427,University of Windsor,-18.74,45.76,10.22,15.07,3.04,not measured,not measured,,
CWC1428,University of Windsor,-15.93,46.26,9.49,14.90,3.10,not measured,not measured,,
