CWC ID Number,Laboratory,d13C,%C,d15N,%N,C:N,d34S,%S,,
CWC0116,University of Windsor,-21.34,46.36,11.05,14.88,3.11,11.43,1.45,,
CWC0118,University of Windsor,-18.25,43.74,10.32,14.52,3.01,5.88,1.49,,
CWC0119,University of Windsor,-17.23,44.04,8.42,14.56,3.03,5.47,0.92,,
CWC0120,University of Windsor,-17.50,43.52,8.65,14.37,3.03,10.36,1.30,,
CWC0121,University of Windsor,-17.83,44.43,8.76,14.53,3.06,10.73,1.24,,
CWC0123,University of Windsor,-19.94,46.78,11.49,14.55,3.22,8.66,1.23,,
CWC0124,University of Windsor,-20.95,48.53,11.39,14.28,3.40,10.69,1.28,,
CWC0125,University of Windsor,-21.24,48.08,11.48,14.67,3.28,10.77,1.41,,
CWC0126,University of Windsor,-17.79,47.17,13.55,14.94,3.16,13.51,1.68,,
CWC0127,University of Windsor,-18.25,46.20,10.90,14.95,3.09,10.58,1.72,,
CWC0128,University of Windsor,-23.32,45.35,7.84,13.50,3.36,13.52,0.85,,
CWC0129,University of Windsor,-23.03,42.63,8.35,13.10,3.25,14.27,1.09,,
CWC0130,University of Windsor,-23.45,44.71,8.02,13.39,3.34,13.85,0.91,,
CWC0131,University of Windsor,-23.34,40.87,7.49,10.98,3.72,13.41,0.93,,
CWC0132,University of Windsor,-23.13,44.37,8.57,13.42,3.30,13.59,0.81,,
CWC0133,University of Windsor,-23.08,43.96,8.43,13.51,3.25,13.29,1.03,,
CWC0134,University of Windsor,-22.63,45.37,9.43,13.72,3.31,14.49,0.80,,
CWC0135,University of Windsor,-22.99,44.58,9.15,13.35,3.34,15.23,0.79,,
CWC0136,University of Windsor,-22.75,39.44,8.85,11.63,3.39,14.72,0.77,,
CWC0137,University of Windsor,-23.07,43.86,8.41,12.39,3.54,14.76,0.73,,
CWC0138,University of Windsor,-23.07,43.87,8.81,12.52,3.50,14.65,0.77,,
CWC0139,University of Windsor,-23.09,44.07,8.72,12.80,3.44,14.63,0.75,,
CWC0140,University of Windsor,-24.30,3.81,4.30,0.52,7.31,not measured,not measured,,
CWC0142,University of Windsor,-24.03,4.97,5.63,0.67,7.40,not measured,not measured,,
CWC0144,University of Windsor,-24.27,63.84,8.64,2.93,21.77,not measured,not measured,,
CWC0148,University of Windsor,-17.41,44.12,7.83,14.41,3.06,8.00,1.13,,
CWC0149,University of Windsor,-17.18,44.01,7.42,14.44,3.05,7.91,1.16,,
CWC0150,University of Windsor,-17.50,44.16,7.68,14.42,3.06,7.76,1.16,,
CWC0151,University of Windsor,-17.19,44.15,7.66,14.46,3.05,7.29,1.14,,
CWC0152,University of Windsor,-17.72,43.37,7.71,14.16,3.06,8.98,1.06,,
CWC0153,University of Windsor,-17.05,44.33,8.07,14.71,3.01,7.47,1.09,,
CWC0154,University of Windsor,-18.09,27.57,6.85,8.51,3.24,not measured,not measured,,
CWC0155,University of Windsor,-19.79,18.80,7.00,5.59,3.36,not measured,not measured,,
CWC0156,University of Windsor,-17.76,24.23,6.11,7.25,3.34,not measured,not measured,,
CWC0157,University of Windsor,-19.75,45.96,11.43,14.68,3.13,11.53,1.84,,
CWC0158,University of Windsor,-20.47,47.87,10.42,14.43,3.32,8.43,1.17,,
CWC0159,University of Windsor,-23.50,41.48,6.96,12.81,3.24,13.00,0.74,,
CWC0160,University of Windsor,-23.45,44.49,7.02,14.02,3.17,13.38,0.76,,
CWC0161,University of Windsor,-23.59,44.64,6.77,14.01,3.19,12.42,0.81,,
CWC0162,University of Windsor,-23.66,44.86,6.67,14.24,3.15,13.55,0.76,,
CWC0163,University of Windsor,-23.02,43.38,8.98,11.92,3.64,15.32,0.77,,
CWC0164,University of Windsor,-22.97,45.31,8.62,13.10,3.46,14.92,0.77,,
CWC0165,University of Windsor,-23.26,44.17,8.41,11.95,3.70,14.25,0.79,,
CWC0166,University of Windsor,-23.14,44.80,8.40,12.62,3.56,14.77,0.69,,
CWC0167,University of Windsor,-23.11,44.62,8.24,13.16,3.39,14.55,0.80,,
CWC0168,University of Windsor,-23.26,43.13,8.13,12.11,3.56,14.33,0.77,,
CWC0169,University of Windsor,-19.40,45.79,12.18,15.05,3.04,12.26,1.78,,
CWC0170,University of Windsor,-19.92,46.96,11.85,14.99,3.13,10.74,1.85,,
CWC0171,University of Windsor,-20.93,51.86,11.83,14.07,3.69,not measured,not measured,,
CWC0172,University of Windsor,-17.15,47.45,8.62,15.14,3.13,13.13,1.78,,
CWC0173,University of Windsor,-21.14,30.58,7.69,9.75,3.14,not measured,not measured,,
CWC0174,University of Windsor,-16.62,43.84,5.84,14.97,2.93,0.78,0.89,,
CWC0175,University of Windsor,-17.79,42.19,8.00,14.67,2.88,5.52,0.95,,
CWC0176,University of Windsor,-19.92,43.93,8.45,14.89,2.96,8.88,0.89,,
CWC0179,University of Windsor,-18.89,29.18,5.78,9.09,3.21,not measured,not measured,,
CWC0180,University of Windsor,-17.11,28.92,6.68,9.07,3.19,not measured,not measured,,
CWC0182,University of Windsor,-22.29,43.73,7.35,13.16,3.32,14.42,0.76,,
CWC0183,University of Windsor,-22.54,44.82,7.68,13.68,3.28,14.43,0.78,,
CWC0184,University of Windsor,-22.40,44.64,7.41,13.36,3.34,13.79,0.80,,
CWC0185,University of Windsor,-22.54,44.56,7.59,13.58,3.28,14.03,0.77,,
CWC0186,University of Windsor,-22.28,37.76,7.54,11.26,3.35,13.48,0.76,,
CWC0187,University of Windsor,-22.62,45.21,7.43,14.06,3.22,14.09,0.76,,
CWC0188,University of Windsor,-22.80,42.27,6.90,12.75,3.32,13.96,0.77,,
CWC0189,University of Windsor,-22.78,42.73,7.46,12.66,3.38,13.54,0.74,,
CWC0190,University of Windsor,-21.63,42.82,7.51,13.17,3.25,13.55,0.71,,
CWC0191,University of Windsor,-22.95,45.90,7.76,14.33,3.21,14.23,0.77,,
CWC0192,University of Windsor,-22.69,43.58,6.97,12.90,3.38,13.55,0.69,,
CWC0193,University of Windsor,-23.02,50.25,7.47,15.28,3.29,13.88,0.75,,
CWC0194,University of Windsor,-19.02,46.16,12.23,15.03,3.07,not measured,not measured,,
CWC0195,University of Windsor,-15.90,46.02,7.63,15.21,3.03,6.86,1.02,,
CWC0196,University of Windsor,-21.16,46.23,11.47,15.02,3.08,14.06,0.96,,
CWC0197,University of Windsor,-20.37,44.63,12.13,14.89,3.00,14.72,0.96,,
CWC0198,University of Windsor,-20.82,47.48,12.11,14.73,3.22,not measured,not measured,,
CWC0199,University of Windsor,-22.72,47.60,11.22,14.27,3.34,not measured,not measured,,
CWC0200,University of Windsor,-20.24,51.76,10.76,14.60,3.55,10.04,1.19,,
CWC0201,University of Windsor,-20.48,52.78,10.36,15.33,3.44,9.96,1.23,,
CWC0202,University of Windsor,-16.56,46.96,14.35,15.60,3.01,not measured,not measured,,
CWC0203,University of Windsor,-19.96,51.47,12.47,15.49,3.32,12.17,1.68,,
CWC0204,University of Windsor,-20.28,44.84,8.41,15.40,2.91,not measured,not measured,,
CWC0205,University of Windsor,-18.14,43.67,7.07,14.95,2.92,not measured,not measured,,
CWC0206,University of Windsor,-19.57,40.62,8.01,13.11,3.10,not measured,not measured,,
CWC0207,University of Windsor,-19.05,46.30,10.44,15.47,2.99,not measured,not measured,,
CWC0208,University of Windsor,-14.43,45.52,11.80,14.97,3.04,8.29,1.53,,
CWC0213,University of Windsor,-16.90,41.42,4.60,13.22,3.13,not measured,not measured,,
CWC0214,University of Windsor,-16.43,41.90,4.03,13.37,3.13,not measured,not measured,,
CWC0215,University of Windsor,-16.06,35.86,4.78,10.71,3.35,not measured,not measured,,
CWC0216,University of Windsor,-16.14,37.30,5.25,11.36,3.28,not measured,not measured,,
CWC0217,University of Windsor,-16.54,46.59,7.74,14.99,3.11,7.06,1.42,,
CWC0218,University of Windsor,-16.33,45.22,7.47,14.80,3.06,3.47,1.34,,
CWC0219,University of Windsor,-16.33,48.55,7.53,15.50,3.13,5.52,1.35,,
CWC0220,University of Windsor,-16.31,43.08,4.94,14.04,3.07,-1.11,0.97,,
CWC0221,University of Windsor,-16.82,45.30,4.55,15.37,2.95,3.28,1.36,,
CWC0222,University of Windsor,-20.17,41.65,9.88,14.41,2.89,not measured,not measured,,
CWC0223,University of Windsor,-18.77,44.84,9.57,15.16,2.96,not measured,not measured,,
CWC0224,University of Windsor,-18.69,42.23,8.83,14.43,2.93,not measured,not measured,,
CWC0225,University of Windsor,-21.82,44.23,10.46,14.98,2.95,not measured,not measured,,
CWC0227,University of Windsor,-12.02,34.09,6.06,9.39,3.63,not measured,not measured,,
CWC0228,University of Windsor,-12.09,30.83,6.49,8.63,3.57,not measured,not measured,,
CWC0230,University of Windsor,-19.76,41.24,10.61,13.99,2.95,not measured,not measured,,
CWC0231,University of Windsor,-17.11,42.01,6.67,13.65,3.08,not measured,not measured,,
CWC0232,University of Windsor,-19.61,45.18,13.06,15.12,2.99,not measured,not measured,,
CWC0238,University of Windsor,-11.77,32.55,4.83,9.14,3.56,not measured,not measured,,
CWC0239,University of Windsor,-11.80,29.88,5.32,8.45,3.53,not measured,not measured,,
CWC0240,University of Windsor,-11.66,30.41,4.59,8.31,3.66,not measured,not measured,,
CWC0241,University of Windsor,-11.86,29.88,5.46,7.67,3.90,not measured,not measured,,
CWC0245,University of Windsor,-13.02,29.49,5.96,7.87,3.74,not measured,not measured,,
CWC0246,University of Windsor,-12.24,29.19,6.29,7.83,3.73,not measured,not measured,,
CWC0247,University of Windsor,-13.00,28.55,6.16,7.99,3.57,not measured,not measured,,
CWC0248,University of Windsor,-17.23,46.41,7.77,13.90,3.34,not measured,not measured,,
CWC0249,University of Windsor,-17.65,44.24,8.92,13.21,3.35,not measured,not measured,,
CWC0250,University of Windsor,-16.44,28.86,8.26,9.18,3.14,5.00,1.44,,
CWC0251,University of Windsor,-15.83,41.39,7.29,13.72,3.02,not measured,not measured,,
CWC0252,University of Windsor,-16.28,33.17,7.82,10.03,3.31,6.83,1.07,,
CWC0254,University of Windsor,-12.13,18.40,5.06,5.04,3.65,not measured,not measured,,
CWC0255,University of Windsor,-11.72,31.11,5.79,7.95,3.92,not measured,not measured,,
CWC0256,University of Windsor,-15.02,29.00,3.97,7.78,3.73,not measured,not measured,,
CWC0257,University of Windsor,-15.00,29.36,5.21,8.11,3.62,not measured,not measured,,
CWC0258,University of Windsor,-14.14,29.47,4.65,8.00,3.68,not measured,not measured,,
CWC0259,University of Windsor,-17.12,46.02,8.53,15.01,3.07,7.30,1.32,,
CWC0260,University of Windsor,-16.25,46.37,5.34,15.26,3.04,4.46,1.22,,
CWC0261,University of Windsor,-16.76,45.55,7.18,15.05,3.03,10.42,1.49,,
CWC0262,University of Windsor,-16.06,45.70,8.34,15.27,2.99,3.12,1.22,,
CWC0265,University of Windsor,-15.93,42.35,10.07,14.30,2.96,2.69,1.41,,
CWC0266,University of Windsor,-18.32,45.66,9.74,15.08,3.03,5.71,1.41,,
CWC0267,University of Windsor,-17.84,45.67,7.29,13.00,3.51,1.92,1.13,,
CWC0268,University of Windsor,-17.86,33.60,8.52,10.97,3.06,not measured,not measured,,
CWC0269,University of Windsor,-17.87,36.07,9.01,11.66,3.09,not measured,not measured,,
CWC0270,University of Windsor,-17.23,38.58,8.55,12.84,3.01,not measured,not measured,,
CWC0271,University of Windsor,-17.09,38.24,8.31,12.65,3.02,not measured,not measured,,
CWC0274,University of Windsor,-19.22,41.88,10.77,13.65,3.07,not measured,not measured,,
CWC0278,University of Windsor,-14.91,46.60,8.16,14.98,3.11,3.24,1.28,,
CWC0280,University of Windsor,-16.21,45.30,7.79,14.87,3.05,4.27,1.71,,
CWC0285,University of Windsor,-16.60,44.60,6.63,15.10,2.95,not measured,not measured,,
CWC0286,University of Windsor,-16.45,43.71,6.67,15.18,2.88,not measured,not measured,,
CWC0287,University of Windsor,-17.96,45.15,6.56,15.60,2.89,not measured,not measured,,
CWC0288,University of Windsor,-17.25,44.33,6.90,15.17,2.92,not measured,not measured,,
CWC0289,University of Windsor,-16.83,45.46,6.72,15.63,2.91,not measured,not measured,,
CWC0290,University of Windsor,-19.18,44.30,7.14,14.81,2.99,7.05,1.01,,
CWC0291,University of Windsor,-12.18,31.35,5.33,8.85,3.54,not measured,not measured,,
CWC0292,University of Windsor,-11.96,33.00,5.93,9.28,3.56,not measured,not measured,,
CWC0293,University of Windsor,-12.36,31.00,5.56,8.73,3.55,not measured,not measured,,
CWC0294,University of Windsor,-18.66,44.19,13.63,16.01,2.76,11.78,0.90,,
CWC0295,University of Windsor,-17.27,44.78,14.13,15.24,2.94,11.59,1.38,,
CWC0299,University of Windsor,-17.13,36.58,8.57,12.48,2.93,not measured,not measured,,
CWC0301,University of Windsor,-16.64,42.75,7.70,14.34,2.98,not measured,not measured,,
CWC0302,University of Windsor,-19.47,33.58,7.86,10.80,3.11,not measured,not measured,,
CWC0303,University of Windsor,-17.26,22.84,4.96,6.63,3.45,not measured,not measured,,
CWC0304,University of Windsor,-16.97,41.21,6.63,13.28,3.10,7.78,1.00,,
CWC0305,University of Windsor,-17.31,41.19,6.68,12.08,3.41,7.28,0.94,,
CWC0306,University of Windsor,-17.71,22.56,5.42,6.65,3.39,not measured,not measured,,
CWC0307,University of Windsor,-16.89,46.20,9.95,15.20,3.04,6.11,1.40,,
CWC0308,University of Windsor,-18.53,45.61,11.27,15.15,3.01,9.42,1.24,,
CWC0310,University of Windsor,-21.31,44.73,11.94,14.86,3.01,10.39,1.25,,
CWC0311,University of Windsor,-20.65,41.43,9.28,12.62,3.28,12.81,0.94,,
CWC0312,University of Windsor,-20.23,45.29,10.91,15.17,2.99,not measured,not measured,,
CWC0313,University of Windsor,-23.88,20.20,8.44,3.06,6.61,not measured,not measured,,
CWC0316,University of Windsor,-16.83,45.60,12.07,14.85,3.07,7.75,1.26,,
CWC0317,University of Windsor,-18.54,52.21,10.74,15.18,3.44,8.30,1.27,,
CWC0318,University of Windsor,-19.40,48.44,10.22,14.34,3.38,9.41,1.12,,
CWC0319,University of Windsor,-20.57,39.21,14.59,11.82,3.32,11.22,1.14,,
CWC0320,University of Windsor,-18.52,50.55,12.21,13.80,3.74,7.51,1.14,,
CWC0321,University of Windsor,-17.41,46.23,12.33,15.21,3.04,7.56,1.37,,
CWC0322,University of Windsor,-23.19,1.76,5.44,0.29,6.02,not measured,not measured,,
CWC0324,University of Windsor,-17.92,44.45,13.44,15.89,2.80,11.22,0.81,,
CWC0325,University of Windsor,-17.04,30.39,12.97,10.83,2.80,11.17,0.47,,
CWC0326,University of Windsor,-18.68,44.73,11.37,13.99,3.20,11.28,1.65,,
CWC0327,University of Windsor,-14.89,45.01,8.26,14.85,3.03,3.33,1.35,,
CWC0328,University of Windsor,-15.89,43.71,7.50,13.09,3.34,not measured,not measured,,
CWC0329,University of Windsor,-15.51,45.10,6.38,14.46,3.12,2.44,1.53,,
CWC0330,University of Windsor,-14.88,45.44,6.54,14.44,3.15,-0.91,0.72,,
CWC0331,University of Windsor,-16.64,37.54,6.73,13.03,2.88,not measured,not measured,,
CWC0332,University of Windsor,-16.69,44.57,5.95,15.25,2.92,not measured,not measured,,
CWC0333,University of Windsor,-17.11,44.75,7.15,15.10,2.96,not measured,not measured,,
CWC0334,University of Windsor,-18.08,44.50,8.11,15.58,2.86,not measured,not measured,,
CWC0335,University of Windsor,-17.16,43.87,6.69,15.32,2.86,not measured,not measured,,
CWC0336,University of Windsor,-16.66,44.23,7.11,15.12,2.93,not measured,not measured,,
CWC0337,University of Windsor,-15.68,32.34,6.15,11.08,2.92,not measured,not measured,,
CWC0338,University of Windsor,-16.55,34.85,5.84,11.26,3.10,not measured,not measured,,
CWC0339,University of Windsor,-16.58,22.66,5.52,6.69,3.39,not measured,not measured,,
CWC0341,University of Windsor,-17.48,14.95,6.59,4.71,3.17,not measured,not measured,,
CWC0342,University of Windsor,-16.88,14.67,4.52,4.27,3.43,not measured,not measured,,
CWC0343,University of Windsor,-17.57,16.02,5.96,5.20,3.08,not measured,not measured,,
CWC0344,University of Windsor,-16.81,46.92,8.54,14.70,3.19,1.19,1.40,,
CWC0345,University of Windsor,-16.13,47.28,8.00,15.03,3.15,2.30,1.30,,
CWC0346,University of Windsor,-16.79,46.80,10.06,15.30,3.06,5.04,1.36,,
CWC0347,University of Windsor,-16.87,24.22,5.90,7.18,3.37,not measured,not measured,,
CWC0348,University of Windsor,-18.24,45.24,8.66,14.74,3.07,not measured,not measured,,
CWC0349,University of Windsor,-21.66,33.48,8.39,11.21,2.99,not measured,not measured,,
CWC0350,University of Windsor,-20.63,34.79,9.67,12.00,2.90,not measured,not measured,,
CWC0352,University of Windsor,-20.71,43.78,8.74,14.22,3.08,not measured,not measured,,
CWC0353,University of Windsor,-18.71,41.77,8.38,13.94,3.00,not measured,not measured,,
CWC0357,University of Windsor,-18.65,45.77,10.73,14.88,3.08,9.54,1.53,,
CWC0360,University of Windsor,-15.06,46.13,5.53,14.78,3.12,-0.88,1.32,,
CWC0362,University of Windsor,-20.32,41.24,8.77,14.09,2.93,11.25,1.08,,
CWC0366,University of Windsor,-16.48,35.43,16.04,11.61,3.05,17.06,1.20,,
CWC0367,University of Windsor,-16.72,47.22,15.33,15.48,3.05,not measured,not measured,,
CWC0368,University of Windsor,-16.99,48.48,15.94,15.37,3.16,16.11,1.03,,
CWC0369,University of Windsor,-17.12,47.92,14.89,15.63,3.07,not measured,not measured,,
CWC0370,University of Windsor,-17.06,48.32,15.14,15.45,3.13,15.27,1.07,,
CWC0371,University of Windsor,-16.82,48.89,15.78,15.84,3.09,14.52,1.08,,
CWC0374_1,University of Windsor,-17.20,11.22,2.18,1.06,10.58,not measured,not measured,,
CWC0375_1,University of Windsor,-13.30,40.14,1.74,1.49,26.92,not measured,not measured,,
CWC0376_1,University of Windsor,-16.34,22.90,1.48,2.28,10.05,not measured,not measured,,
CWC0377_1,University of Windsor,-18.86,9.52,1.03,0.94,10.08,not measured,not measured,,
CWC0378_1,University of Windsor,-19.94,18.24,1.04,1.47,12.39,not measured,not measured,,
CWC0379_1,University of Windsor,-20.11,6.03,1.99,0.73,8.30,not measured,not measured,,
CWC0380_1,University of Windsor,-12.41,42.87,1.89,0.57,75.24,not measured,not measured,,
CWC0381_1,University of Windsor,-12.81,40.90,3.58,1.42,28.80,not measured,not measured,,
CWC0382_1,University of Windsor,-13.18,40.74,1.90,1.33,30.55,not measured,not measured,,
CWC0384_1,University of Windsor,-13.75,43.33,2.73,1.41,30.78,not measured,not measured,,
CWC0385_1,University of Windsor,-12.89,42.43,3.68,2.44,17.42,not measured,not measured,,
CWC0386_1,University of Windsor,-26.48,44.82,6.07,2.11,21.23,not measured,not measured,,
CWC0387_1,University of Windsor,-27.65,44.95,2.45,1.97,22.82,not measured,not measured,,
CWC0388_1,University of Windsor,-28.35,45.05,2.72,1.23,36.52,not measured,not measured,,
CWC0389_1,University of Windsor,-12.99,43.64,2.50,0.89,48.85,not measured,not measured,,
CWC0390_1,University of Windsor,-12.65,44.27,1.21,0.90,49.09,not measured,not measured,,
CWC0391_1,University of Windsor,-13.89,42.12,4.12,1.71,24.62,not measured,not measured,,
CWC0392_1,University of Windsor,-13.72,43.36,4.35,2.34,18.54,not measured,not measured,,
CWC0393_1,University of Windsor,-13.35,42.67,3.04,1.34,31.81,not measured,not measured,,
CWC0394_1,University of Windsor,-12.66,14.09,1.69,0.77,18.37,not measured,not measured,,
CWC0395_1,University of Windsor,-13.25,40.01,3.79,1.35,29.66,not measured,not measured,,
CWC0396_1,University of Windsor,-13.44,40.79,2.04,1.60,25.57,not measured,not measured,,
CWC0397_1,University of Windsor,-13.71,43.00,2.65,1.03,41.83,not measured,not measured,,
CWC0398_1,University of Windsor,-26.52,44.52,2.35,1.57,28.40,not measured,not measured,,
CWC0399_1,University of Windsor,-26.47,45.31,1.11,1.52,29.72,not measured,not measured,,
CWC0400_1,University of Windsor,-27.29,44.64,1.47,1.47,30.34,not measured,not measured,,
CWC0401_1,University of Windsor,-13.36,43.16,1.96,1.01,42.71,not measured,not measured,,
CWC0403_1,University of Windsor,-13.43,43.29,5.08,0.77,56.02,not measured,not measured,,
CWC0404_1,University of Windsor,-13.48,43.75,3.85,0.92,47.37,not measured,not measured,,
CWC0405_1,University of Windsor,-13.75,44.58,3.42,0.89,49.92,not measured,not measured,,
CWC0406_1,University of Windsor,-14.12,43.52,2.41,1.89,23.03,not measured,not measured,,
CWC0407_1,University of Windsor,-14.32,42.64,4.07,1.83,23.35,not measured,not measured,,
CWC0408_1,University of Windsor,-13.51,44.07,1.97,0.70,63.11,not measured,not measured,,
CWC0409_1,University of Windsor,-12.57,43.34,2.89,0.67,64.75,not measured,not measured,,
CWC0412_1,University of Windsor,-16.95,17.45,0.98,1.14,15.25,not measured,not measured,,
CWC0600,University of Windsor,-21.23,45.91,10.73,15.12,3.04,not measured,not measured,,
CWC0601,University of Windsor,-20.35,44.36,9.90,14.71,3.02,not measured,not measured,,
CWC0602,University of Windsor,-20.50,40.36,10.18,13.47,3.00,not measured,not measured,,
CWC0603,University of Windsor,-20.22,41.51,9.95,13.65,3.04,not measured,not measured,,
CWC0604,University of Windsor,-18.40,45.36,10.32,14.89,3.05,not measured,not measured,,
CWC0605,University of Windsor,-16.14,42.49,11.62,14.21,2.99,not measured,not measured,,
CWC0606,University of Windsor,-18.73,45.21,11.03,15.06,3.00,not measured,not measured,,
CWC0607,University of Windsor,-18.69,45.01,10.18,14.93,3.01,not measured,not measured,,
CWC0608,University of Windsor,-17.49,43.93,9.35,14.76,2.98,not measured,not measured,,
CWC0609,University of Windsor,-16.79,48.95,9.31,16.44,2.98,not measured,not measured,,
CWC0610,University of Windsor,-16.06,43.17,7.71,14.01,3.08,not measured,not measured,,
CWC0611,University of Windsor,-14.95,44.79,8.78,14.29,3.13,not measured,not measured,,
CWC0612,University of Windsor,-16.17,39.87,8.34,13.09,3.05,not measured,not measured,,
CWC0613,University of Windsor,-17.18,44.75,8.40,14.33,3.12,not measured,not measured,,
CWC0614,University of Windsor,-17.47,44.58,8.32,14.46,3.08,not measured,not measured,,
CWC0615,University of Windsor,-15.67,44.28,7.02,13.36,3.31,not measured,not measured,,
CWC0616,University of Windsor,-17.65,34.14,7.71,10.92,3.13,not measured,not measured,,
CWC0617,University of Windsor,-17.53,41.78,8.42,13.46,3.10,not measured,not measured,,
CWC0618,University of Windsor,-17.62,46.02,8.12,15.76,2.92,not measured,not measured,,
CWC0619,University of Windsor,-17.48,42.91,8.06,14.70,2.92,not measured,not measured,,
CWC0620,University of Windsor,-17.37,46.44,8.32,15.72,2.95,not measured,not measured,,
CWC0621,University of Windsor,-19.52,45.76,9.50,15.45,2.96,not measured,not measured,,
CWC0622,University of Windsor,-19.00,45.73,9.60,15.94,2.87,not measured,not measured,,
CWC0623,University of Windsor,-16.44,44.92,8.30,15.76,2.85,not measured,not measured,,
CWC0624,University of Windsor,-17.16,44.64,7.29,15.70,2.84,not measured,not measured,,
CWC0625,University of Windsor,-17.05,44.32,8.04,15.75,2.81,not measured,not measured,,
CWC0626,University of Windsor,-16.80,44.99,8.09,15.70,2.86,not measured,not measured,,
CWC0627,University of Windsor,-17.78,45.72,8.26,15.80,2.89,not measured,not measured,,
CWC0628,University of Windsor,-22.34,46.66,8.95,16.02,2.91,not measured,not measured,,
CWC0629,University of Windsor,-21.37,46.26,9.29,15.83,2.92,not measured,not measured,,
CWC0630,University of Windsor,-20.97,45.37,12.72,15.75,2.88,not measured,not measured,,
CWC0631,University of Windsor,-20.90,45.27,11.81,15.71,2.88,not measured,not measured,,
CWC0632,University of Windsor,-20.51,44.98,11.52,15.48,2.90,not measured,not measured,,
CWC0633,University of Windsor,-20.81,45.82,11.92,15.84,2.89,not measured,not measured,,
CWC0634,University of Windsor,-20.90,44.95,11.66,15.58,2.89,not measured,not measured,,
CWC0635,University of Windsor,-21.03,46.02,11.07,15.86,2.90,not measured,not measured,,
CWC0636,University of Windsor,-15.60,45.70,4.91,15.55,2.94,not measured,not measured,,
CWC0637,University of Windsor,-16.98,44.98,4.61,15.42,2.92,not measured,not measured,,
CWC0638,University of Windsor,-14.98,46.81,4.34,15.91,2.94,not measured,not measured,,
CWC0639,University of Windsor,-15.33,45.84,5.26,15.64,2.93,not measured,not measured,,
CWC0640,University of Windsor,-14.69,44.59,4.76,15.16,2.94,not measured,not measured,,
CWC0641,University of Windsor,-15.43,45.83,5.34,15.65,2.93,not measured,not measured,,
CWC0642,University of Windsor,-21.34,43.69,11.99,15.41,2.84,not measured,not measured,,
CWC0643,University of Windsor,-20.23,42.89,7.82,14.94,2.87,not measured,not measured,,
CWC0644,University of Windsor,-24.62,46.29,7.11,15.66,2.96,not measured,not measured,,
CWC0645,University of Windsor,-17.04,46.29,8.24,15.44,3.00,not measured,not measured,,
CWC0646,University of Windsor,-17.01,46.61,9.24,15.59,2.99,not measured,not measured,,
CWC0647,University of Windsor,-14.57,46.35,5.55,15.24,3.04,not measured,not measured,,
CWC0648,University of Windsor,-15.43,43.68,5.97,14.09,3.10,not measured,not measured,,
CWC0649,University of Windsor,-13.27,43.59,6.19,14.03,3.11,not measured,not measured,,
CWC0650,University of Windsor,-15.25,44.58,5.61,14.24,3.13,not measured,not measured,,
CWC0651,University of Windsor,-21.34,43.93,11.20,13.73,3.20,not measured,not measured,,
CWC0652,University of Windsor,-21.09,43.05,9.30,13.82,3.11,not measured,not measured,,
CWC0653,University of Windsor,-22.72,45.41,11.25,14.20,3.20,not measured,not measured,,
CWC0654,University of Windsor,-22.36,42.54,10.10,13.67,3.11,not measured,not measured,,
CWC0655,University of Windsor,-21.99,44.01,12.35,14.08,3.13,not measured,not measured,,
CWC0656,University of Windsor,-22.10,44.99,11.53,14.31,3.14,not measured,not measured,,
CWC0657,University of Windsor,-22.28,45.07,10.66,14.32,3.15,not measured,not measured,,
CWC0658,University of Windsor,-22.67,44.56,11.14,14.29,3.12,not measured,not measured,,
CWC0659,University of Windsor,-20.26,43.81,10.82,14.16,3.09,not measured,not measured,,
CWC0660,University of Windsor,-21.13,43.85,11.37,14.04,3.12,not measured,not measured,,
CWC0661,University of Windsor,-20.84,41.75,11.65,13.77,3.03,not measured,not measured,,
CWC0662,University of Windsor,-19.47,43.29,10.67,14.09,3.07,not measured,not measured,,
CWC0663,University of Windsor,-20.56,42.91,11.75,13.75,3.12,not measured,not measured,,
CWC0664,University of Windsor,-22.76,43.46,12.19,14.04,3.09,not measured,not measured,,
CWC0665,University of Windsor,-21.36,42.26,13.53,13.71,3.08,not measured,not measured,,
CWC0666,University of Windsor,-20.52,41.91,12.64,13.78,3.04,not measured,not measured,,
CWC0667,University of Windsor,-21.18,44.28,12.42,13.51,3.28,not measured,not measured,,
CWC0668,University of Windsor,-19.78,41.49,11.42,13.46,3.08,not measured,not measured,,
CWC0669,University of Windsor,-21.10,41.54,12.30,13.42,3.09,not measured,not measured,,
CWC0670,University of Windsor,-19.63,46.35,11.90,15.09,3.07,not measured,not measured,,
CWC0671,University of Windsor,-20.83,45.14,10.38,14.83,3.04,not measured,not measured,,
CWC0672,University of Windsor,-18.79,44.39,10.51,14.50,3.06,not measured,not measured,,
CWC0673,University of Windsor,-20.23,45.66,11.43,14.68,3.11,not measured,not measured,,
CWC0674,University of Windsor,-17.37,45.46,9.44,14.74,3.08,not measured,not measured,,
CWC0675,University of Windsor,-18.55,46.32,11.36,15.08,3.07,not measured,not measured,,
CWC0676,University of Windsor,-18.62,45.04,11.37,14.64,3.08,not measured,not measured,,
CWC0677,University of Windsor,-19.61,44.51,11.10,14.56,3.06,not measured,not measured,,
CWC0678,University of Windsor,-18.77,44.82,12.03,14.62,3.07,not measured,not measured,,
CWC0679,University of Windsor,-17.35,44.63,11.40,14.60,3.06,not measured,not measured,,
